Wavelength	Ellip23 RT	Ellip25 RT	Ellip38 RT	Ellip62 RT	Ellip23	Ellip25	Ellip38	Ellip62
199	1335781.818	449005.5556	859290.2857	1504921.739	800951.8182	-349207.4074	658272	937521.7391
198.5	1471518.182	575782.4074	1052256	1637382.609	1007709.091	-117376.8519	856771.4286	1141721.739
198	1603109.091	683070.3704	1229120	1733321.739	1190990.909	34977.03704	1053602.286	1308886.957
197.5	1682318.182	807115.7407	1218205.714	1775113.043	1340345.455	154009.2593	1188045.714	1471834.783
197	1735154.545	960814.8148	1123104	1778139.13	1449209.091	320292.5926	1358422.857	1560469.565
196.5	1735218.182	1119851.852	1109666.286	1820721.739	1567254.545	467082.4074	1421531.429	1613017.391
196	1776581.818	1232944.444	1300091.429	1872339.13	1626836.364	632471.2963	1519851.429	1600539.13
195.5	1809909.091	1308444.444	1457794.286	1928034.783	1775018.182	740748.1481	1573142.857	1611765.217
195	1803000	1366861.111	1537817.143	1884773.913	1845872.727	851054.6296	1645622.857	1673486.957
194.5	1790372.727	1385166.667	1533142.857	1866904.348	1935872.727	872441.6667	1687222.857	1760878.261
194	1745481.818	1443333.333	1530080	1815104.348	1946227.273	996203.7037	1680000	1862217.391
193.5	1780000	1465537.037	1332102.857	1730260.87	1956472.727	1042787.037	1734868.571	1890608.696
193	1744890.909	1488990.741	1119829.714	1646695.652	1902209.091	1138250	1724011.429	1845226.087
192.5	1749009.091	1583648.148	870481.1429	1596139.13	1914381.818	1182305.556	1734777.143	1791895.652
192	1732836.364	1598490.741	816200	1594982.609	1939618.182	1240731.481	1795680	1726104.348
191.5	1727372.727	1613055.556	748129.1429	1556382.609	1977254.545	1302194.444	1776022.857	1663165.217
191	1648981.818	1605055.556	606408	1513791.304	2010854.545	1293592.593	1734914.286	1687330.435
190.5	1618054.545	1592444.444	340814.8571	1415686.957	1950209.091	1235537.037	1670388.571	1687382.609
190	1570609.091	1507305.556	379245.7143	1337043.478	1888272.727	1172879.63	1628880	1692130.435
